dTime;Accel_X;Accel_Y;Accel_Z;Gyro_X;Gyro_Y;Gyro_Z;Mag_X;Mag_Y;Mag_Z;q1;q2;q3;q4
[s];[m/s^2];[m/s^2];[m/s^2];[rad/s];[rad/s];[rad/s];[uT];[uT];[uT];[-];[-];[-];[-]

8.282997;-0.062500;-0.160156;9.871094;0.003906;0.001953;0.001953;-1.812500;19.312500;-40.125000;-0.007629;0.003784;0.000122;0.999939
8.312996;-0.101563;-0.160156;9.871094;0.003906;0.000000;0.000000;-1.812500;19.312500;-40.125000;-0.007568;0.003784;0.000122;0.999939
8.327999;-0.101563;-0.160156;9.871094;0.003906;0.000000;0.000000;-2.500000;17.875000;-38.937500;-0.007568;0.003784;0.000122;0.999939
8.341999;-0.101563;-0.160156;9.871094;0.003906;0.000000;0.000000;-2.500000;17.875000;-38.937500;-0.007568;0.003784;0.000122;0.999939
8.375996;-0.062500;-0.160156;9.871094;0.000000;0.000000;-0.003906;-2.875000;19.000000;-39.750000;-0.007629;0.003784;0.000061;0.999939
8.384998;-0.062500;-0.160156;9.871094;0.000000;0.000000;-0.003906;-2.875000;19.000000;-39.750000;-0.007629;0.003784;0.000061;0.999939
8.409996;-0.062500;-0.160156;9.871094;0.000000;0.000000;-0.001953;-2.875000;19.000000;-39.750000;-0.007629;0.003784;0.000061;0.999939
8.426998;-0.062500;-0.160156;9.871094;0.000000;0.000000;-0.001953;-3.625000;19.000000;-39.750000;-0.007629;0.003784;0.000061;0.999939
8.461998;-0.101563;-0.121094;9.871094;0.001953;0.000000;0.001953;-3.625000;19.000000;-39.750000;-0.007629;0.003784;0.000061;0.999939
8.474998;-0.101563;-0.121094;9.871094;0.001953;0.000000;0.001953;-2.875000;18.625000;-40.562500;-0.007629;0.003784;0.000061;0.999939
8.494999;-0.101563;-0.121094;9.835938;0.001953;0.000000;0.001953;-2.875000;18.625000;-40.562500;-0.007629;0.003784;0.000061;0.999939
8.525997;-0.062500;-0.121094;9.871094;-0.001953;0.000000;0.000000;-3.625000;19.000000;-39.750000;-0.007629;0.003784;0.000122;0.999939
8.532997;-0.062500;-0.121094;9.871094;-0.001953;0.000000;0.000000;-3.625000;19.000000;-39.750000;-0.007629;0.003784;0.000122;0.999939
8.562996;-0.101563;-0.160156;9.871094;0.000000;0.000000;0.000000;-3.625000;19.000000;-39.750000;-0.007690;0.003784;0.000061;0.999939
8.577999;-0.062500;-0.121094;9.835938;0.000000;0.000000;0.000000;-1.812500;19.000000;-41.000000;-0.007690;0.003784;0.000061;0.999939
8.591999;-0.062500;-0.121094;9.835938;0.000000;0.000000;0.000000;-1.812500;19.000000;-41.000000;-0.007690;0.003784;0.000061;0.999939
8.625996;-0.062500;-0.160156;9.871094;-0.003906;-0.001953;0.001953;-2.875000;19.000000;-40.187500;-0.007629;0.003845;0.000061;0.999939
8.646999;-0.062500;-0.160156;9.835938;-0.003906;-0.001953;0.001953;-2.875000;19.000000;-40.187500;-0.007629;0.003845;0.000061;0.999939
8.672997;-0.062500;-0.121094;9.871094;-0.001953;0.001953;0.000000;-4.000000;19.000000;-39.375000;-0.007629;0.003845;0.000061;0.999939
8.681999;-0.062500;-0.121094;9.871094;-0.001953;0.001953;0.000000;-4.000000;19.000000;-39.375000;-0.007629;0.003845;0.000061;0.999939
8.711998;-0.062500;-0.121094;9.871094;-0.001953;-0.001953;0.000000;-4.000000;19.000000;-39.375000;-0.007629;0.003845;0.000061;0.999939
8.724998;-0.062500;-0.121094;9.871094;-0.001953;-0.001953;0.000000;-2.500000;17.875000;-40.562500;-0.007629;0.003845;0.000061;0.999939
8.752998;-0.062500;-0.160156;9.871094;0.000000;0.000000;0.000000;-2.500000;17.875000;-40.562500;-0.007690;0.003845;0.000061;0.999939
8.764996;-0.062500;-0.121094;9.871094;0.000000;0.000000;0.000000;-2.500000;17.875000;-40.562500;-0.007690;0.003845;0.000061;0.999939
8.804996;-0.062500;-0.160156;9.871094;0.001953;0.001953;0.000000;-2.500000;19.687500;-39.375000;-0.007690;0.003784;0.000061;0.999939
8.811996;-0.062500;-0.160156;9.871094;0.001953;0.001953;0.000000;-2.500000;19.687500;-39.375000;-0.007690;0.003784;0.000061;0.999939
8.838997;-0.062500;-0.121094;9.871094;0.001953;0.001953;0.000000;-2.875000;19.000000;-39.375000;-0.007690;0.003784;0.000061;0.999939
8.860996;-0.062500;-0.160156;9.871094;-0.001953;-0.001953;-0.001953;-2.875000;19.000000;-39.375000;-0.007690;0.003784;0.000061;0.999939
8.874996;-0.062500;-0.160156;9.871094;-0.001953;-0.001953;-0.001953;-2.187500;18.625000;-38.562500;-0.007690;0.003784;0.000061;0.999939
8.902996;-0.062500;-0.160156;9.871094;0.000000;-0.001953;0.000000;-2.187500;18.625000;-38.562500;-0.007690;0.003784;0.000061;0.999939
8.912998;-0.062500;-0.160156;9.871094;0.000000;-0.001953;0.000000;-2.187500;18.625000;-38.562500;-0.007690;0.003784;0.000061;0.999939
8.939999;-0.062500;-0.160156;9.871094;0.000000;-0.001953;0.000000;-3.625000;19.312500;-41.375000;-0.007690;0.003784;0.000061;0.999939
8.972996;-0.101563;-0.160156;9.871094;-0.001953;-0.001953;0.001953;-3.250000;18.625000;-40.187500;-0.007690;0.003784;0.000061;0.999939
